date,event,pnl,num_expired
2022-07-11,expiry,-1116.5,9
2022-07-13,expiry,-6.0,8
2022-07-15,expiry,226.5,9
2022-07-18,expiry,-400.5,8
2022-07-20,expiry,-179.0,3
2022-07-22,expiry,-78.5,3
2022-07-25,expiry,-621.5,13
2022-07-27,expiry,58.4991455078125,4
2022-07-29,expiry,96.0,2
2022-08-01,expiry,-246.5,6
2022-08-03,expiry,97.0048828125,7
2022-08-05,expiry,192.0,6
2022-08-08,expiry,-430.5,10
2022-08-10,expiry,113.5,5
2022-08-12,expiry,257.5,7
2022-08-15,expiry,-297.0,6
2022-08-17,expiry,-43.5,2
2022-08-19,expiry,76.5,4
2022-08-22,expiry,-386.5,9
2022-08-24,expiry,-183.5,7
2022-08-26,expiry,177.49951171875,14
2022-08-29,expiry,-51.0,4
2022-08-31,expiry,322.5,6
2022-09-02,expiry,641.998046875,14
2022-09-06,expiry,-256.0,13
2022-09-07,expiry,-37.0,8
2022-09-09,expiry,503.5,16
2022-09-12,expiry,-67.4998779296875,4
2022-09-14,expiry,91.5006103515625,7
2022-09-16,expiry,-13.0009765625,14
2022-09-19,expiry,-938.5,20
2022-09-21,expiry,214.00439453125,16
2022-09-23,expiry,-1168.993896484375,20
2022-09-26,expiry,-38.0,4
2022-09-28,expiry,416.5,8
2022-09-30,expiry,1316.997802734375,12
2022-10-03,expiry,-516.0,13
2022-10-05,expiry,353.0,10
2022-10-07,expiry,784.0008544921875,14
2022-10-10,expiry,-377.0,15
2022-10-12,expiry,-102.5,4
2022-10-14,expiry,1999.5,17
2022-10-17,expiry,595.503662109375,18
2022-10-19,expiry,132.5,11
2022-10-21,expiry,271.0,4
2022-10-24,expiry,-528.0009765625,14
2022-10-26,expiry,-180.0,6
2022-10-28,expiry,39.5,2
2022-10-31,expiry,-1362.0008544921875,18
2022-11-02,expiry,24.0,2
2022-11-04,expiry,11.5,1
2022-11-07,expiry,-310.5,5
2022-11-09,expiry,-251.5,5
2022-11-11,expiry,-513.5009765625,5
2022-11-14,expiry,-78.5,3
2022-11-16,expiry,-41.5,3
2022-11-21,expiry,-623.0,5
2022-11-22,expiry,-54.5,2
2022-11-23,expiry,-305.0,1
2022-11-25,expiry,-672.5,3
2022-11-28,expiry,-1302.5003662109375,9
2022-11-29,expiry,-64.5,5
2022-11-30,expiry,-144.50146484375,3
2022-12-02,expiry,-220.99963378906244,1
2022-12-05,expiry,-69.0,4
2022-12-06,expiry,-89.0,4
2022-12-07,expiry,-95.0,5
2022-12-09,expiry,-34.0,2
2022-12-12,expiry,-501.998779296875,20
2022-12-13,expiry,899.5,17
2022-12-14,expiry,656.5,16
2022-12-15,expiry,96.0,4
2022-12-16,expiry,-79.002197265625,10
2022-12-19,expiry,-32.0,2
2022-12-20,expiry,-29.0,2
2022-12-22,expiry,-23.0,2
2022-12-23,expiry,-135.5,5
2022-12-27,expiry,-195.0,9
2022-12-28,expiry,-39.5,3
2022-12-29,expiry,-22.0,2
2022-12-30,expiry,-289.5,9
2023-01-03,expiry,-216.5,12
2023-01-04,expiry,-4.5,7
2023-01-05,expiry,-0.9999999999999982,2
2023-01-06,expiry,491.0,17
2023-01-09,expiry,-271.5,11
2023-01-10,expiry,-107.5,4
2023-01-11,expiry,-96.0,4
2023-01-12,expiry,597.0,16
2023-01-13,expiry,69.5,3
2023-01-17,expiry,-80.0,4
2023-01-18,expiry,-35.0,1
2023-01-19,expiry,-44.5,3
2023-01-20,expiry,-17.5,3
2023-01-23,expiry,-131.0,8
2023-01-24,expiry,-75.5,3
2023-01-25,expiry,-33.5,2
2023-01-26,expiry,24.0,2
2023-01-27,expiry,50.0,5
2023-01-30,expiry,-222.4996337890625,11
2023-01-31,expiry,-164.5,8
2023-02-01,expiry,120.0,8
2023-02-02,expiry,107.0,8
2023-02-03,expiry,510.5,20
2023-02-06,expiry,-147.5,7
2023-02-07,expiry,43.0,6
2023-02-08,expiry,-15.5,4
2023-02-09,expiry,-17.5,5
2023-02-10,expiry,23.0,4
2023-02-13,expiry,-155.0,6
2023-02-14,expiry,313.5,12
2023-02-15,expiry,159.5,8
2023-02-16,expiry,164.5,6
2023-02-17,expiry,227.5,14
2023-02-21,expiry,-70.0,4
2023-02-22,expiry,-37.5,3
2023-02-23,expiry,-0.9999999999999982,2
2023-02-24,expiry,138.5,8
2023-02-27,expiry,-73.5,5
2023-02-28,expiry,-70.5,5
2023-03-01,expiry,-42.5,5
2023-03-02,expiry,-10.500000000000002,1
2023-03-03,expiry,43.5,4
2023-03-06,expiry,-234.5,12
2023-03-07,expiry,9.000000000000002,5
2023-03-08,expiry,4.0,4
2023-03-09,expiry,0.9999999999999982,2
2023-03-10,expiry,-1349.496337890625,9
2023-03-13,expiry,-22.5,3
2023-03-14,expiry,293.0,6
2023-03-15,expiry,286.5,6
2023-03-16,expiry,333.0,8
2023-03-17,expiry,720.5,16
2023-03-20,expiry,14.500000000000002,1
2023-03-21,expiry,33.0,2
2023-03-22,expiry,626.0,9
2023-03-23,expiry,631.0,9
2023-03-24,expiry,540.0,13
2023-03-27,expiry,32.0,2
2023-03-28,expiry,76.5,3
2023-03-29,expiry,94.0,4
2023-03-30,expiry,153.0,4
2023-03-31,expiry,411.0,11
2023-04-03,expiry,102.001220703125,5
2023-04-04,expiry,-36.5,2
2023-04-06,expiry,-29.0,2
2023-04-10,expiry,-195.0,9
2023-04-11,expiry,-157.0,7
2023-04-13,expiry,36.5,3
2023-04-14,expiry,120.5,5
2023-04-17,expiry,-94.5,7
2023-04-18,expiry,-27.0,2
2023-04-19,expiry,-12.5,1
2023-04-21,expiry,6.500000000000002,3
2023-04-24,expiry,-94.0,5
2023-04-25,expiry,-73.0,4
2023-04-26,expiry,-58.5,3
2023-04-27,expiry,-13.5,1
2023-04-28,expiry,5.500000000000005,5
2023-05-01,expiry,-71.5,4
2023-05-02,expiry,-37.5,3
2023-05-03,expiry,74.5,3
2023-05-04,expiry,149.0,6
2023-05-05,expiry,535.0,11
2023-05-08,expiry,11.5,1
2023-05-09,expiry,27.0,2
2023-05-10,expiry,72.5,5
2023-05-11,expiry,74.5,5
2023-05-12,expiry,159.0,7
2023-05-16,expiry,61.5,3
2023-05-17,expiry,140.0,4
2023-05-18,expiry,147.0,5
2023-05-19,expiry,347.0,11
2023-05-22,expiry,-12.5,1
2023-05-23,expiry,11.5,1
2023-05-24,expiry,22.0,2
2023-05-25,expiry,52.0,3
2023-05-26,expiry,169.5,9
2023-05-30,expiry,12.499999999999998,3
2023-05-31,expiry,33.0,2
2023-06-01,expiry,150.5,5
2023-06-02,expiry,359.0,12
2023-06-05,expiry,-44.5,3
2023-06-06,expiry,-13.5,1
2023-06-07,expiry,19.0,4
2023-06-08,expiry,16.5,3
2023-06-09,expiry,6.0,2
2023-06-12,expiry,-59.5,4
2023-06-13,expiry,-25.0,2
2023-06-14,expiry,64.5,5
2023-06-15,expiry,87.0,6
2023-06-16,expiry,433.0,16
2023-06-20,expiry,-99.5,5
2023-06-21,expiry,-33.0,2
2023-06-22,expiry,-30.0,2
2023-06-23,expiry,-87.0,5
2023-06-26,expiry,-104.5,7
2023-06-27,expiry,-33.5,3
2023-06-30,expiry,190.0,7
2023-07-03,expiry,-21.000000000000004,4
2023-07-05,expiry,11.500000000000002,3
2023-07-06,expiry,32.0,2
2023-07-07,expiry,140.5,8
2023-07-10,expiry,-0.9999999999999982,2
2023-07-12,expiry,38.5,3
2023-07-13,expiry,83.0,5
2023-07-14,expiry,76.5,5
2023-07-17,expiry,30.0,2
2023-07-18,expiry,54.5,2
2023-07-19,expiry,70.5,2
2023-07-20,expiry,59.5,5
2023-07-21,expiry,103.0,5
2023-07-24,expiry,12.5,1
2023-07-26,expiry,77.5,5
2023-07-27,expiry,102.0,6
2023-07-28,expiry,77.5,5
2023-07-31,expiry,26.0,2
2023-08-01,expiry,28.0,2
2023-08-02,expiry,41.5,3
2023-08-03,expiry,13.5,1
2023-08-04,expiry,149.0,8
2023-08-08,expiry,34.5,3
2023-08-09,expiry,82.5,5
2023-08-10,expiry,145.5,8
2023-08-11,expiry,143.5,7
2023-08-14,expiry,10.500000000000002,1
2023-08-15,expiry,47.0,3
2023-08-16,expiry,77.5,4
2023-08-17,expiry,50.5,2
2023-08-18,expiry,139.0,7
2023-08-21,expiry,38.5,3
2023-08-22,expiry,34.0,2
2023-08-23,expiry,103.5,6
2023-08-24,expiry,89.0,6
2023-08-25,expiry,233.0,11
2023-08-28,expiry,10.500000000000002,1
2023-08-29,expiry,11.5,1
2023-08-30,expiry,48.0,4
2023-08-31,expiry,43.5,3
2023-09-01,expiry,119.5,9
2023-09-05,expiry,5.0,2
2023-09-06,expiry,9.999999999999998,2
2023-09-07,expiry,46.0,4
2023-09-08,expiry,75.0,5
2023-09-11,expiry,-28.0,2
2023-09-12,expiry,-12.5,1
2023-09-13,expiry,-12.5,1
2023-09-14,expiry,23.0,2
2023-09-15,expiry,372.0,13
2023-09-18,expiry,-11.5,3
2023-09-19,expiry,-12.5,1
2023-09-20,expiry,53.0,2
2023-09-21,expiry,23.0,2
2023-09-22,expiry,55.5,7
2023-09-25,expiry,17.5,3
2023-09-26,expiry,30.500000000000007,5
2023-09-27,expiry,50.5,5
2023-09-28,expiry,115.5,6
2023-09-29,expiry,388.5,17
2023-10-02,expiry,24.0,2
2023-10-03,expiry,13.5,1
2023-10-04,expiry,78.0,6
2023-10-05,expiry,104.0,6
2023-10-06,expiry,325.0,15
2023-10-09,expiry,31.5,1
2023-10-10,expiry,36.5,2
2023-10-11,expiry,15.5,1
2023-10-12,expiry,100.5,6
2023-10-13,expiry,147.5,8
2023-10-16,expiry,23.5,1
2023-10-17,expiry,123.5,7
2023-10-18,expiry,80.5,4
2023-10-19,expiry,142.5,6
2023-10-20,expiry,319.0,8
2023-10-23,expiry,79.0,6
2023-10-24,expiry,74.5,5
2023-10-25,expiry,76.0,4
2023-10-26,expiry,124.0,6
2023-10-27,expiry,263.5,12
2023-10-31,expiry,49.0,4
2023-11-01,expiry,142.5,5
2023-11-02,expiry,187.0,7
2023-11-03,expiry,300.5,12
2023-11-06,expiry,-28.0,2
2023-11-07,expiry,27.5,5
2023-11-08,expiry,29.0,4
2023-11-09,expiry,5.0,2
2023-11-10,expiry,-24.0,2
2023-11-13,expiry,-67.5,4
2023-11-14,expiry,-24.0,2
2023-11-15,expiry,11.5,3
2023-11-16,expiry,16.5,1
2023-11-17,expiry,10.500000000000002,1
2023-11-20,expiry,429.0029296875,3
2023-11-21,expiry,-23.0,2
2023-11-24,expiry,-50.00244140625,4
2023-11-27,expiry,-104.0,7
2023-11-28,expiry,-70.0,5
2023-11-29,expiry,-10.500000000000002,1
2023-12-01,expiry,-56.0,3
2023-12-04,expiry,-75.0,4
2023-12-05,expiry,-35.5,2
2023-12-06,expiry,-22.0,2
2023-12-07,expiry,-43.00000000000001,1
2023-12-08,expiry,-10.500000000000002,1
2023-12-11,expiry,-102.0,4
2023-12-13,expiry,29.000000000000004,1
2023-12-14,expiry,47.00000000000001,3
2023-12-15,expiry,211.5,10
2023-12-18,expiry,-25.000000000000004,2
2023-12-19,expiry,-11.5,1
2023-12-22,expiry,-93.0,6
2023-12-26,expiry,-6.000000000000002,6
2023-12-27,expiry,27.0,2
2023-12-28,expiry,34.0,2
2023-12-29,expiry,68.5,7
2024-01-02,expiry,13.5,1
2024-01-03,expiry,22.0,2
2024-01-04,expiry,28.0,2
2024-01-05,expiry,105.5,6
2024-01-09,expiry,22.0,2
2024-01-10,expiry,28.0,2
2024-01-11,expiry,66.0,4
2024-01-12,expiry,171.0,7
2024-01-17,expiry,10.500000000000002,1
2024-01-18,expiry,33.5,3
2024-01-19,expiry,186.5,10
2024-01-22,expiry,35.5,3
2024-01-23,expiry,28.0,2
2024-01-24,expiry,27.0,2
2024-01-26,expiry,48.0,4
2024-01-29,expiry,0.9989013671874982,4
2024-01-30,expiry,-27.0,2
2024-01-31,expiry,109.0,4
2024-02-01,expiry,106.0,4
2024-02-02,expiry,314.5,10
2024-02-07,expiry,24.0,2
2024-02-08,expiry,42.5,3
2024-02-09,expiry,112.0,8
2024-02-12,expiry,-3.0,2
2024-02-13,expiry,23.5,1
2024-02-14,expiry,28.500000000000004,1
2024-02-15,expiry,97.5,7
2024-02-16,expiry,153.5,10
2024-02-20,expiry,-32.0,2
2024-02-21,expiry,11.5,1
2024-02-22,expiry,52.50000000000001,5
2024-02-23,expiry,102.0,9
2024-02-26,expiry,-43.5,3
2024-02-28,expiry,-7.999999999999998,2
2024-02-29,expiry,45.5,6
2024-03-01,expiry,124.0,5
2024-03-04,expiry,-67.5,5
2024-03-05,expiry,-28.0,4
2024-03-06,expiry,2.9999999999999982,3
2024-03-07,expiry,15.5,1
2024-03-08,expiry,26.0,4
2024-03-11,expiry,-23.0,2
2024-03-12,expiry,56.0,4
2024-03-13,expiry,66.0,4
2024-03-14,expiry,118.0,5
2024-03-15,expiry,258.0,12
