date,historical_equity,vol_surface_equity
2024-09-11,107731.33830651687,107461.66103826684
2024-09-12,107667.280371681,107326.85722179401
2024-09-13,107881.89931062056,107352.04662477817
2024-09-16,107868.34204746698,107327.42176653427
2024-09-17,107869.90077874243,107329.89036928126
2024-09-18,107890.65674992187,107369.5456085309
2024-09-19,108016.76938015965,107577.46150593345
2024-09-20,108136.12993926264,107949.61740158784
2024-09-23,108153.53739484894,107975.3959512897
2024-09-24,108130.29751843832,107936.01823471056
2024-09-25,108111.98442164167,107901.86708858215
2024-09-26,108080.34872667246,107852.86921102561
2024-09-27,108207.76286200708,107820.99732431666
2024-09-30,108244.72371953758,107793.27844033673
2024-10-01,108174.7010641487,107670.19799604686
2024-10-02,108169.98762212378,107665.76667843135
2024-10-03,108154.61326295821,107652.85141011665
2024-10-04,108119.34045099991,107682.98694664928
2024-10-07,108048.7871196339,107669.4516754112
2024-10-08,107975.71570543185,107683.49170874445
2024-10-09,108027.09101932355,107723.2210646227
2024-10-10,108039.01181762823,107724.2178171906
2024-10-11,108279.44949105012,107816.16380332952
2024-10-14,108214.75863758952,107874.09175347918
2024-10-15,108152.72012866224,107893.14781132551
2024-10-16,108117.60438760863,107942.70455953185
2024-10-17,108116.71884274296,107940.7670714561
2024-10-18,108212.32520712099,108167.59432287258
2024-10-21,108197.97818592988,108195.81090645141
2024-10-22,108200.55295446809,108178.69480768466
2024-10-23,108127.99213492822,108368.56070720179
2024-10-24,108109.79960468489,108416.79386250641
2024-10-25,108418.09170723215,108529.20663072077
2024-10-28,108392.7019659897,108597.09427002483
2024-10-29,108402.6771352183,108557.19346999125
2024-10-30,108424.57396833319,108486.03627937143
2024-10-31,108271.55793706975,109132.69003167622
2024-11-01,108335.07057317917,109373.13595977254
2024-11-04,108326.16332111039,109414.19809104016
2024-11-05,108231.8564814814,109653.18130595532
2024-11-06,108421.35666786168,109234.2389153789
2024-11-07,108358.90035524691,109420.8283990218
2024-11-08,108622.68435043946,109373.97288624673
2024-11-11,108613.4969200537,109390.44960591532
2024-11-12,108587.12293076907,109440.77379590289
2024-11-13,108581.66947781807,109446.92945014613
2024-11-14,108528.92163106451,109568.02863069545
2024-11-15,108872.08732678948,109390.39460972395
2024-11-18,108989.49970103461,109324.30705534205
2024-11-19,108958.79090044588,109367.05912596667
2024-11-20,108959.88266494655,109359.14287529442
2024-11-21,108916.07893810507,109429.49698932657
2024-11-22,109166.50992700078,109457.12865940388
2024-11-25,109138.01314369397,109500.06351030633
2024-11-26,109177.98482040968,109441.02154505461
2024-11-27,109200.63011445687,109399.88587096595
2024-11-28,109199.03462506048,109397.50485639716
2024-11-29,109523.38256229239,109998.60151473971
2024-12-02,109536.16694304896,109972.67695590266
2024-12-03,109530.82802873601,109978.75775075663
2024-12-04,109579.18422232354,109992.49091531379
2024-12-05,109590.88909639361,109969.75461625564
2024-12-06,109692.5955637404,109986.52065801492
2024-12-09,109732.68057497131,109970.69665557999
2024-12-10,109706.01970547183,109973.82557871337
2024-12-11,109642.3222714098,110023.30663171367
2024-12-12,109598.99878620244,110046.28113704933
2024-12-13,109668.48718237803,110475.45947262034
2024-12-16,109701.2528273193,110435.82831883238
2024-12-17,109732.94624932657,110436.04918827159
2024-12-18,109491.36915133374,110549.6601740177
2024-12-19,109492.20587930887,110549.2156351004
2024-12-20,109882.43161927228,110639.0919714073
2024-12-23,109870.68913952196,110622.49473622411
2024-12-24,109956.67676391524,110675.04015016677
2024-12-25,109955.07441441742,110674.24130454542
2024-12-26,109954.00554714927,110673.78338269964
2024-12-27,110182.74451313,110693.84586686832
2024-12-30,110090.68821828457,110659.45280407877
2024-12-31,110117.6337229011,111151.80444206022
2025-01-01,110116.07192577838,111149.63337373908
2025-01-02,110133.69688757938,111156.57028261515
2025-01-03,110407.038149155,111247.23097875182
2025-01-06,110359.52617100353,111231.22411189789
2025-01-07,110268.26945654332,111124.36479912714
2025-01-08,110255.24242762726,111119.16337279874
2025-01-09,110253.67155467792,111118.06234259978
2025-01-10,110452.01714757072,111247.46628963399
2025-01-13,110462.46221931414,111271.2092132326
2025-01-14,110450.25384959213,111262.64993743076
2025-01-15,110589.80445451452,111544.61981301005
2025-01-16,110603.41441892118,111556.07199661223
2025-01-17,110998.48149663548,111776.32487668408
2025-01-20,110996.89122144712,111772.89885804955
2025-01-21,111068.09123692564,112027.97032666531
2025-01-22,111021.37384332575,112017.60582762606
2025-01-23,111063.80725947695,112237.52882720824
2025-01-24,111229.87047480413,112292.8025657744
2025-01-27,111113.78667163209,112043.57911092712
2025-01-28,111043.62418581566,111992.55985656343
2025-01-29,111005.94488040662,111943.41880296313
2025-01-30,110961.34916358042,111944.32556743958
2025-01-31,111119.8781918564,112108.31547503469
2025-02-03,111171.0302330321,112145.64562915008
2025-02-04,111221.63974012877,112220.17904270874
2025-02-05,111187.67068328636,112209.05994509875
2025-02-06,111213.92844221235,112254.20494890788
2025-02-07,111414.4584092696,112427.22571605832
2025-02-10,111489.99775230979,112522.99880438588
2025-02-11,111481.78902116655,112511.34413842708
2025-02-12,111454.30961599051,112466.00055842625
2025-02-13,111368.1902017633,112372.26301070703
2025-02-14,111510.1745579615,112509.65825487327
2025-02-17,111508.55666401534,112504.24756174514
2025-02-18,111530.68812047094,112556.82766990188
2025-02-19,111509.95957101238,112524.49181051989
2025-02-20,111474.49997726348,112455.37097323906
2025-02-21,111767.39880626115,112795.37224354928
2025-02-24,111737.0853872585,112733.04751016942
2025-02-25,111774.40720195379,112789.95519070825
2025-02-26,111776.8105709635,112794.03233492021
2025-02-27,111901.14849663529,113006.6366826677
2025-02-28,112156.73517165019,113342.18681160966
2025-03-03,112292.2855924218,113352.63196134703
2025-03-04,112199.05730268505,113388.86506018095
2025-03-05,112115.26605433016,113359.85080391627
2025-03-06,111976.41026937579,113347.45873775058
2025-03-07,112063.30404400782,113344.74408389149
2025-03-10,111877.30821396828,113229.38846119904
2025-03-11,111937.65657892825,113277.9299280647
2025-03-12,111975.32047868473,113304.8358232877
2025-03-13,112072.72548837554,113400.56519685005
2025-03-14,112439.44389642111,113593.96227652418
2025-03-17,112379.90434719998,113512.77565077158
2025-03-18,112297.15649455499,113639.80187673887
2025-03-19,112214.6820028611,113519.52186106818
2025-03-20,112191.44247817676,113546.9623578171
2025-03-21,112481.95229325928,113775.01588118837
2025-03-24,112615.3505539023,113650.85426174974
2025-03-25,112595.38116494734,113593.23056720008
2025-03-26,112502.10025591735,113540.99483505111
2025-03-27,112520.75298175667,113592.40909838355
2025-03-28,112506.41858612496,113302.65235823789
2025-03-31,112541.73266381852,113264.4747257723
2025-04-01,112561.29691980666,113299.19724215262
2025-04-02,112512.48499511874,113177.60382460785
2025-04-03,112145.13682936794,114293.0513177391
2025-04-04,113334.2920990655,122063.14946837017
2025-04-07,113312.50815974658,122097.41801092016
2025-04-08,113723.12411829835,124519.52204800065
2025-04-09,116452.44899486675,145415.12707037645
2025-04-10,117709.14169778617,157993.96750019665
2025-04-11,118381.21351916203,162461.28913708037
2025-04-14,118146.2078284033,159906.26484330016
2025-04-15,118087.03844508136,159145.401693517
2025-04-16,118668.57144849865,166224.42724067136
2025-04-17,119977.32765955466,166543.77402310158
2025-04-18,119974.66734514464,166480.81734597107
2025-04-21,120555.86007668638,159141.38320366893
2025-04-22,119587.62433977661,151644.76821917907
2025-04-23,119032.79432590716,156465.00339102582
2025-04-24,117764.53370717997,150694.18727661826
2025-04-25,118518.03399974624,153160.4137751831
2025-04-28,118505.02645304878,152991.9673973269
2025-04-29,117923.756134709,155202.64412855706
2025-04-30,117950.83271577655,154924.9700086299
2025-05-01,117289.36119569854,157582.14487975772
2025-05-02,116617.62613435235,148956.8898623658
2025-05-05,117031.48986932336,146650.46692958742
2025-05-06,117426.68351893278,149745.5671213562
2025-05-07,117113.50641200392,151290.95309269684
2025-05-08,116724.39167212471,148612.43268534372
2025-05-09,117076.12120263698,147972.18901354945
2025-05-12,113148.41189465758,136728.53910556075
2025-05-13,112410.76304135114,139375.21565676993
