date,historical_equity,GARCH_equity,XGB_equity
2021-05-25,443178.8667770267,518238.8672391425,482973.3048634638
2021-05-26,442956.7653793089,518230.4929007542,483037.03713697067
2021-05-27,442834.9236749564,518157.72606368933,482980.7300751911
2021-05-28,442692.282235816,518345.4633460352,483249.011725746
2021-06-01,442738.69147133117,518381.92022125446,483219.21111820615
2021-06-02,442455.3570199829,518194.6551407478,483177.0781148119
2021-06-03,442890.88027592737,518562.7538601623,483260.643022986
2021-06-04,442083.6961627435,517856.7127040468,483281.1492962361
2021-06-07,441979.61457536696,517927.19640143425,483372.49464093044
2021-06-08,441930.8279196501,517896.3358956286,483362.7458877067
2021-06-09,441899.8265515602,517969.0117516172,483415.91374177457
2021-06-10,441830.7037600628,517729.07688726234,483324.4299766801
2021-06-11,441936.6888677855,517847.5111861685,483563.52679309575
2021-06-14,441700.64216273616,517634.8565014917,483474.96946018195
2021-06-15,441634.590027173,517677.6588014461,483504.3344425357
2021-06-16,441622.04039470037,517820.6532037488,483618.98283725244
2021-06-17,442008.65702895605,518222.53310041147,484035.92971359426
2021-06-18,443778.7110298223,519549.1148423629,485295.8377274692
2021-06-21,443368.1417356028,519205.99098407826,485052.4481326101
2021-06-22,443048.1859349851,519001.59219203045,484878.95505012147
2021-06-23,443443.2944963335,519349.629451067,485175.19411302224
2021-06-24,443040.30937251495,518625.16809771035,485003.93891371187
2021-06-25,442668.23671556707,518061.81582727644,484978.1186047761
2021-06-28,442186.5529860433,517540.17626524577,484826.886935884
2021-06-29,442051.5739136385,517370.70356861217,484793.1559073226
2021-06-30,441861.2656643389,517076.9290738264,484897.0402760742
2021-07-01,440628.18878159387,515246.8410572498,484678.5388523806
2021-07-02,438643.4081465587,512494.2671007161,484382.3424512734
2021-07-06,438395.5109366699,512826.91575135273,484426.3260853463
2021-07-07,437492.81979277346,511505.5828066178,484308.2729696486
2021-07-08,439225.10402086366,514800.8940869307,484793.6803299465
2021-07-09,438052.084429152,511433.9603701533,484440.2778626293
2021-07-12,436751.3376019205,509756.6812611922,484274.29291215586
2021-07-13,437018.1997894073,510892.57268554583,484482.68951183744
2021-07-14,437005.6639724026,510242.64628631977,484807.74218388984
2021-07-15,437223.35240404756,511297.5349643871,484942.5464466175
2021-07-16,437702.7682870875,513143.48301552393,485289.6445305144
2021-07-19,437520.7256749815,515020.8389863176,485053.5753325777
2021-07-20,437477.3295032558,514554.08642800234,485127.95225803996
2021-07-21,438099.48054103384,514033.8926907546,485794.5280736828
2021-07-22,438164.25460959726,513770.61755070696,485843.17652234173
2021-07-23,438171.9684134709,512449.0345185675,485713.1124805942
2021-07-26,437843.3708948056,511658.56462630176,485608.9534049246
2021-07-27,437921.14021317184,512382.08900826715,485620.572001765
2021-07-28,438113.3756861194,512381.56458896666,485743.56153114734
2021-07-29,437954.3655206269,511839.5015839215,485602.9204049558
2021-07-30,438551.9717921374,512610.73349173524,486286.00318518095
2021-08-02,438668.7791591578,512719.74658782396,486383.7629997202
2021-08-03,438421.79610669776,512079.5150835195,486104.8879725738
2021-08-04,438868.5893329415,512678.71140069276,486583.42914892716
2021-08-05,438580.1039638472,512124.99376484274,486239.8100536264
2021-08-06,438567.4540168456,512000.277728759,486266.4714336487
2021-08-09,438501.39321117324,512069.0766393923,486327.46570489154
2021-08-10,438468.34023610584,511914.71410747175,486247.18275857775
2021-08-11,438456.1157819108,511648.60460380657,486178.3209642563
2021-08-12,438252.45471118344,511308.43117212714,485985.3720139695
2021-08-13,438164.64539371163,511177.29024488415,485987.9757721137
2021-08-16,437614.3368348444,510764.7397952917,485780.56745080015
2021-08-17,438552.4212920151,511193.5797596436,485933.9144821302
2021-08-18,438865.50218893844,511290.9695973168,485684.5554524891
2021-08-19,438839.93886320945,511357.64970428403,485831.7110475055
2021-08-20,439559.80664915,512114.81222096464,486711.0724607132
2021-08-23,439261.74982289824,511742.18052568275,486638.3161389155
2021-08-24,439216.9733675103,511697.9365823875,486618.3741170478
2021-08-25,439172.7271543459,511691.8980992769,486648.6970984606
2021-08-26,439323.3783654253,511730.24934432586,486672.1800851464
2021-08-27,439207.0084622719,511953.67713950214,486718.3939681498
2021-08-30,438873.373995097,511896.8825642931,486621.85990749695
2021-08-31,439001.9940400566,511911.70846878475,486650.8602957043
2021-09-01,438987.5245459961,512022.0778105287,486721.19987146236
2021-09-02,438487.62043801823,511876.91667430673,486498.98877808754
2021-09-03,438481.63580392837,512056.41145275545,486643.59687669174
2021-09-07,439135.7492566176,512359.68088414415,487087.1754740006
2021-09-08,439214.45964035054,512525.1506355513,487232.6868871526
2021-09-09,439458.16699882364,513075.2863427516,487528.65885500744
2021-09-10,439446.6048698755,514243.6612288228,487764.07004684897
2021-09-13,439829.6381845404,514189.4576028488,488152.967787361
2021-09-14,439845.3934645593,514627.16518797504,488249.02805050765
2021-09-15,440208.9922498776,514226.9177419548,488395.4886791207
2021-09-16,440209.4150904993,514346.5507440541,488416.36085181683
2021-09-17,440515.1107302084,515340.4936371674,488735.9681434284
2021-09-20,440298.4819677331,515841.82785312395,488787.9012805572
2021-09-21,440695.4794568382,515844.16676796845,488786.64046681067
2021-09-22,441313.0572635354,516100.2798450871,489249.0484852926
2021-09-23,441287.8825801906,516000.898405288,489224.35745204764
2021-09-24,441530.4628326773,516033.8708215441,489342.2073811625
2021-09-27,441764.1936276836,516073.67099920165,489394.1059632138
2021-09-28,440982.5681861633,515750.54581675184,488597.8866558035
2021-09-29,441952.9493534701,516180.1577788485,489524.4272155641
2021-09-30,442450.1134420052,516233.1156024026,489656.8863285818
2021-10-01,442496.5149215523,516268.65177501895,489805.79077624035
2021-10-04,442922.988566595,516660.90130624303,490985.33337226545
2021-10-05,442907.6546143489,516601.29166449513,490560.26249568904
2021-10-06,443055.6255660675,516737.64329363185,490512.38023103867
2021-10-07,442799.5048109949,516366.04292018735,489943.91602030565
2021-10-08,443204.7456417635,516901.0460862621,490379.12585457496
2021-10-11,443517.555527217,517420.4483413065,490878.67572227196
2021-10-12,443590.82480532967,517555.5854094829,490971.95094451
2021-10-13,443720.3298414868,517563.8661528396,491017.92419977277
2021-10-14,443428.2712418248,516665.69202193234,490664.24320246466
2021-10-15,443366.3040152884,516092.5499804788,490537.20363557915
2021-10-18,443070.4019419025,515448.350941716,490223.510055051
2021-10-19,442431.991339357,514197.04224621586,489816.75379440666
2021-10-20,441734.91208108875,512980.38002440194,489420.23331598414
2021-10-21,441085.2630245892,511978.9292116416,488996.74736182136
2021-10-22,441236.89713230764,512118.3391348482,489313.9812987684
2021-10-25,439436.0043990071,510167.6482730431,488248.5644823952
2021-10-26,439177.58077344537,509948.3985335759,488074.2346134156
2021-10-27,440566.3250730549,511419.5002389312,489069.6769372341
2021-10-28,437633.0802340588,508050.28263321234,487007.38290896104
2021-10-29,436764.0990105621,507044.10450094513,486358.18349611294
2021-11-01,435838.78262960486,505896.1404000469,485626.8601552265
2021-11-02,434376.69088249863,504350.5260888574,484430.2997735252
2021-11-03,432185.9745304743,501971.0191901696,482647.50052718923
2021-11-04,430482.26221576496,500281.55351834034,481300.7196631705
2021-11-05,428838.626500453,498778.61358535674,480126.86599873623
2021-11-08,427420.2520665938,497511.5662855832,479091.63976466097
2021-11-09,428090.64669212565,498271.321316992,479815.02956015815
2021-11-10,430811.3346672069,501113.9333011436,482258.55829585507
2021-11-11,430665.4765220359,500949.77570193773,482017.49472282146
2021-11-12,428596.1270625089,498705.23418119067,480281.0408046667
2021-11-15,427887.73518969887,498034.89928787894,479556.86782526394
2021-11-16,427226.12928941136,497084.8979025204,478704.34670636134
2021-11-17,427482.08667828975,497539.1011474318,478923.7911263143
2021-11-18,427017.84994254744,496811.63294332376,478184.4277389272
2021-11-19,427157.2666006997,497119.3640916076,478483.25350439595
